PW_gene	PW_id	PW_name						
AT5G24960	PWY-581	IAA biosynthesis I	RXN-1403	4.99.1.6	AT5G24960-MONOMER	indoleacetaldoxime dehydratase	AT5G24960	CYP71A14
AT5G24950	PWY-581	IAA biosynthesis I	RXN-1403	4.99.1.6	AT5G24950-MONOMER	indoleacetaldoxime dehydratase	AT5G24950	CYP71A15
AT5G22300	PWY-581	IAA biosynthesis I	RXN-1404	3.5.5.1	AT5G22300-MONOMER	indole-3-acetonitrile nitrilase	AT5G22300	NIT4
AT5G20960	PWY-581	IAA biosynthesis I	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN	1.2.3.7	CPLX-1527	indole-3-acetaldehyde oxidase	AT5G20960	AO1
AT5G11320	PWY-581	IAA biosynthesis I	RXN-1405	-	AT5G11320-MONOMER	tryptamine monooxygenase	AT5G11320	YUC4
AT5G07360	PWY-581	IAA biosynthesis I	RXNN-404	3.5.1.4	AT5G07360-MONOMER	indoleacetamide hydrolase	AT5G07360	AT5G07360
AT4G39950	PWY-581	IAA biosynthesis I	RXN-12063	1.14.13.125	CPLX-1523	"<i>N,N</i>-dihydroxy-L-tryptophan decarboxylase"	AT4G39950	CYP79B2
AT4G39950	PWY-581	IAA biosynthesis I	RXN-12062	1.14.13.125	CPLX-1523	<i>N</i>-hydroxy-L-tryptophan monooxygenase	AT4G39950	CYP79B2
AT4G39950	PWY-581	IAA biosynthesis I	RXN-12061	1.14.13.125	CPLX-1523	L-tryptophan <i>N</i>-monooxygenase	AT4G39950	CYP79B2
AT4G32540	PWY-581	IAA biosynthesis I	RXN-1405	-	CPLX-1522	tryptamine monooxygenase	AT4G32540	YUC1
AT4G28720	PWY-581	IAA biosynthesis I	RXN-1405	-	AT4G28720-MONOMER	tryptamine monooxygenase	AT4G28720	YUC8
AT4G13310	PWY-581	IAA biosynthesis I	RXN-1403	4.99.1.6	AT4G13310-MONOMER	indoleacetaldoxime dehydratase	AT4G13310	CYP71A20
AT4G13290	PWY-581	IAA biosynthesis I	RXN-1403	4.99.1.6	AT4G13290-MONOMER	indoleacetaldoxime dehydratase	AT4G13290	CYP71A19
AT4G13260	PWY-581	IAA biosynthesis I	RXN-1405	-	AT4G13260-MONOMER	tryptamine monooxygenase	AT4G13260	YUC2
AT4G02610	PWY-581	IAA biosynthesis I	RXN0-2381	4.1.2.8	AT4G02610-MONOMER	"tryptophan synthase, alpha subunit"	AT4G02610	AT4G02610
AT3G54640	PWY-581	IAA biosynthesis I	RXN0-2381	4.1.2.8	AT3G54640-MONOMER	"tryptophan synthase, alpha subunit"	AT3G54640	AT3G54640
AT3G44320	PWY-581	IAA biosynthesis I	RXN-7567	4.2.1.84	CPLX-1526	indole-3-acetonitrile nitrile hydratase	AT3G44320	NIT3
AT3G44320	PWY-581	IAA biosynthesis I	RXN-1404	3.5.5.1	CPLX-1526	indole-3-acetonitrile nitrilase	AT3G44320	NIT3
AT3G44310	PWY-581	IAA biosynthesis I	RXN-7567	4.2.1.84	CPLX-1525	indole-3-acetonitrile nitrile hydratase	AT3G44310	NIT1
AT3G44310	PWY-581	IAA biosynthesis I	RXN-1404	3.5.5.1	CPLX-1525	indole-3-acetonitrile nitrilase	AT3G44310	NIT1
AT3G44300	PWY-581	IAA biosynthesis I	RXN-7567	4.2.1.84	CPLX-1524	indole-3-acetonitrile nitrile hydratase	AT3G44300	NIT2
AT3G44300	PWY-581	IAA biosynthesis I	RXN-1404	3.5.5.1	CPLX-1524	indole-3-acetonitrile nitrilase	AT3G44300	NIT2
AT3G25660	PWY-581	IAA biosynthesis I	RXNN-404	3.5.1.4	AT3G25660-MONOMER	amidase	AT3G25660	AT3G25660
AT2G33230	PWY-581	IAA biosynthesis I	RXN-1405	-	AT2G33230-MONOMER	tryptamine monooxygenase	AT2G33230	YUC7
AT2G30770	PWY-581	IAA biosynthesis I	RXN-1403	4.99.1.6	AT2G30770-MONOMER	indole-3-acetaldoxime dehydratase	AT2G30770	CYP71A13
AT2G30750	PWY-581	IAA biosynthesis I	RXN-1403	4.99.1.6	AT2G30750-MONOMER	indoleacetaldoxime dehydratase	AT2G30750	CYP71A12
AT2G27150	PWY-581	IAA biosynthesis I	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN	1.2.3.7	CPLX-7097	(indol-3-yl)acetaldehyde:oxygen oxidoreductase	AT2G27150	AAO3
AT2G22330	PWY-581	IAA biosynthesis I	RXN-12063	1.14.13.125	CPLX-2281	"<i>N,N</i>-dihydroxy-L-tryptophan decarboxylase"	AT2G22330	CYP79B3
AT2G22330	PWY-581	IAA biosynthesis I	RXN-12062	1.14.13.125	CPLX-2281	<i>N</i>-hydroxy-L-tryptophan monooxygenase	AT2G22330	CYP79B3
AT2G22330	PWY-581	IAA biosynthesis I	RXN-12061	1.14.13.125	CPLX-2281	L-tryptophan <i>N</i>-monooxygenase	AT2G22330	CYP79B3
AT1G70560	PWY-581	IAA biosynthesis I	RXN-10139	2.6.1.-	AT1G70560-MONOMER	L-tryptophan:pyruvate aminotransferase	AT1G70560	TAA1
AT1G70560	PWY-581	IAA biosynthesis I	TRYPTOPHAN-AMINOTRANSFERASE-RXN	2.6.1.27	AT1G70560-MONOMER	L-tryptophan:2-oxoglutarate aminotransferase	AT1G70560	TAA1
AT1G48910	PWY-581	IAA biosynthesis I	RXN-1405	-	AT1G48910-MONOMER	tryptamine monooxygenase	AT1G48910	YUC10
AT1G23320	PWY-581	IAA biosynthesis I	RXN-10139	2.6.1.-	AT1G23320-MONOMER	L-tryptophan:pyruvate aminotransferase	AT1G23320	TAR1
AT1G23320	PWY-581	IAA biosynthesis I	TRYPTOPHAN-AMINOTRANSFERASE-RXN	2.6.1.27	AT1G23320-MONOMER	L-tryptophan:2-oxoglutarate aminotransferase	AT1G23320	TAR1
AT1G21430	PWY-581	IAA biosynthesis I	RXN-1405	-	AT1G21430-MONOMER	tryptamine monooxygenase	AT1G21430	YUC11
AT1G11610	PWY-581	IAA biosynthesis I	RXN-1403	4.99.1.6	AT1G11610-MONOMER	indoleacetaldoxime dehydratase	AT1G11610	CYP71A18
AT1G08980	PWY-581	IAA biosynthesis I	RXNN-404	3.5.1.4	AT1G08980-MONOMER	indole-3-acetamide amidohydrolase	AT1G08980	AT1G08980
AT1G04610	PWY-581	IAA biosynthesis I	RXN-1405	-	AT1G04610-MONOMER	tryptamine monooxygenase	AT1G04610	YUC3
AT1G04180	PWY-581	IAA biosynthesis I	RXN-1405	-	AT1G04180-MONOMER	tryptamine monooxygenase	AT1G04180	YUC9
AT5G56660	PWY-1822	IAA biosynthesis II	RXN-2981	3.5.1.-	AT5G56660-MONOMER	indole-3-acetyl-ala hydrolase	AT5G56660	ill2
AT5G56650	PWY-1822	IAA biosynthesis II	RXN-2981	3.5.1.-	AT5G56650-MONOMER	IAA-Ala conjugate hydrolase	AT5G56650	AT5G56650
AT5G54140	PWY-1822	IAA biosynthesis II	RXN-2982	3.5.1.-	AT5G54140-MONOMER	IAA-Leu conjugate hydrolase	AT5G54140	AT5G54140
AT3G02875	PWY-1822	IAA biosynthesis II	RXN-2982	3.5.1.-	AT3G02875-MONOMER	indole-3-acetyl-leu hydrolase	AT3G02875	ilr1
AT1G51780	PWY-1822	IAA biosynthesis II	RXN-2981	3.5.1.-	AT1G51780-MONOMER	IAA-Ala conjugate hydrolase	AT1G51780	AT1G51780
AT1G51760	PWY-1822	IAA biosynthesis II	RXN-2981	3.5.1.-	AT1G51760-MONOMER	indole-3-acetyl-ala hydrolase	AT1G51760	iar3
AT1G44350	PWY-1822	IAA biosynthesis II	RXN-2981	3.5.1.-	AT1G44350-MONOMER	IAA-Ala conjugate hydrolase	AT1G44350	AT1G44350
AT4G05530	PWY-6066	IAA biosynthesis VII	RXN-9811	1.1.-.-	AT4G05530-MONOMER	3-hydroxy-indole-3-butyryl 3-hydroxyacyl-CoA dehydrogenase	AT4G05530	IBR1
AT3G06810	PWY-6066	IAA biosynthesis VII	RXN-9809	1.3.-.-	AT3G06810-MONOMER	IBA-CoA oxidase	AT3G06810	IBR3
AT5G54510	PWY-2021	IAA degradation IV	RXN-2946	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-aspartate synthetase	AT5G54510	AT5G54510
AT4G37390	PWY-2021	IAA degradation IV	RXN-2946	6.3.-.-	AT4G37390-MONOMER	indole-3-acetyl-asparate synthetase	AT4G37390	AT4G37390
AT4G27260	PWY-2021	IAA degradation IV	RXN-2946	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-aspartate synthetase	AT4G27260	AT4G27260
AT2G23170	PWY-2021	IAA degradation IV	RXN-2946	6.3.-.-	AT2G23170-MONOMER	indole-3-acetyl-aspartate synthetase	AT2G23170	AT2G23170
AT1G59500	PWY-2021	IAA degradation IV	RXN-2946	6.3.-.-	AT1G59500-MONOMER	indole-3-acetyl-aspatate synthetase	AT1G59500	AT1G59500
AT1G28130	PWY-2021	IAA degradation IV	RXN-2946	6.3.-.-	AT1G28130-MONOMER	indole-3-acetyl-aspartate synthetase	AT1G28130	AT1G28130
AT5G54510	PWY-5788	IAA degradation V	RXN-9083	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-valine synthetase	AT5G54510	AT5G54510
AT5G54510	PWY-5788	IAA degradation V	RXN-9084	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT5G54510	AT5G54510
AT4G37390	PWY-5788	IAA degradation V	RXN-9084	6.3.-.-	AT4G37390-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT4G37390	AT4G37390
AT4G27260	PWY-5788	IAA degradation V	RXN-9083	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-valine synthetase	AT4G27260	AT4G27260
AT4G27260	PWY-5788	IAA degradation V	RXN-9084	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT4G27260	AT4G27260
AT2G23170	PWY-5788	IAA degradation V	RXN-9083	6.3.-.-	AT2G23170-MONOMER	indole-3-acetyl-valine synthetase	AT2G23170	AT2G23170
AT2G23170	PWY-5788	IAA degradation V	RXN-9084	6.3.-.-	AT2G23170-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT2G23170	AT2G23170
AT1G59500	PWY-5788	IAA degradation V	RXN-9084	6.3.-.-	AT1G59500-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT1G59500	AT1G59500
AT1G28130	PWY-5788	IAA degradation V	RXN-9084	6.3.-.-	AT1G28130-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT1G28130	AT1G28130
AT5G57220	PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)	RXN-2162	-	AT5G57220-MONOMER	CYP81F2 monooxygenase	AT5G57220	AT5G57220
AT4G37430	PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)	RXN-2162	-	AT4G37430-MONOMER	CYP81F1 monooxygenase	AT4G37430	AT4G37430
AT4G37400	PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)	RXN-2162	-	AT4G37400-MONOMER	CYP81F3 monooxygenase	AT4G37400	AT4G37400
AT2G44490	PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)	RXN-1444	-	AT2G44490-MONOMER	indol-3-ylmethylglucosinolate glucohydrolase	AT2G44490	PEN2
AT2G44490	PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)	RXNQT-4359	-	AT2G44490-MONOMER	4-methoxy-3-indolylmethylglucosinolate glucohydrolase	AT2G44490	PEN2
AT1G21120	PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)	RXN-2163	-	AT1G21120-MONOMER	indole glucosinolate methyltransferase	AT1G21120	AT1G21120
AT1G21100	PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)	RXN-2163	-	AT1G21100-MONOMER	indole glucosinolate methyltransferase	AT1G21100	AT1G21100
AT5G48180	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXNQT-4351	-	AT5G48180-MONOMER	nitrile-specifier protein	AT5G48180	AtNSP5
AT5G22300	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXN-1404	3.5.5.1	AT5G22300-MONOMER	indole-3-acetonitrile nitrilase	AT5G22300	NIT4
AT3G44320	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXN-1404	3.5.5.1	CPLX-1526	indole-3-acetonitrile nitrilase	AT3G44320	NIT3
AT3G44310	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXN-1404	3.5.5.1	CPLX-1525	indole-3-acetonitrile nitrilase	AT3G44310	NIT1
AT3G44300	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXN-1404	3.5.5.1	CPLX-1524	indole-3-acetonitrile nitrilase	AT3G44300	NIT2
AT3G16410	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXNQT-4351	-	AT3G16410-MONOMER	nitrile-specifier protein	AT3G16410	AtNSP4
AT3G16400	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXNQT-4351	-	AT3G16400-MONOMER	nitrile-specifier protein	AT3G16400	AtNSP1
AT3G16390	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXNQT-4351	-	AT3G16390-MONOMER	nitrile-specifier protein	AT3G16390	AtNSP3
AT2G44490	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXN-1444	-	AT2G44490-MONOMER	indol-3-ylmethylglucosinolate glucohydrolase	AT2G44490	PEN2
AT2G33070	PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	RXNQT-4351	-	AT2G33070-MONOMER	nitrile-specifier protein	AT2G33070	AtNSP2
AT5G54510	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9083	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-valine synthetase	AT5G54510	AT5G54510
AT5G54510	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9084	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT5G54510	AT5G54510
AT5G54510	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2946	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-aspartate synthetase	AT5G54510	AT5G54510
AT5G54510	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2944	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-alanine sythetase	AT5G54510	AT5G54510
AT5G54510	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2947	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-glutamate synthetase	AT5G54510	AT5G54510
AT5G54510	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2948	6.3.-.-	AT5G54510-MONOMER	indole-3-acetyl-glutamine synthetase	AT5G54510	AT5G54510
AT4G37390	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9084	6.3.-.-	AT4G37390-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT4G37390	AT4G37390
AT4G37390	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2946	6.3.-.-	AT4G37390-MONOMER	indole-3-acetyl-asparate synthetase	AT4G37390	AT4G37390
AT4G37390	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2947	6.3.-.-	AT4G37390-MONOMER	indole-3-acetyl-glutamate synthetase	AT4G37390	AT4G37390
AT4G37390	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2945	6.3.-.-	AT4G37390-MONOMER	indole-3-acetyl-leucine synthetase	AT4G37390	AT4G37390
AT4G37390	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2948	6.3.-.-	AT4G37390-MONOMER	indole-3-acetyl-glutamine synthase	AT4G37390	AT4G37390
AT4G27260	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9083	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-valine synthetase	AT4G27260	AT4G27260
AT4G27260	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9084	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT4G27260	AT4G27260
AT4G27260	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2946	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-aspartate synthetase	AT4G27260	AT4G27260
AT4G27260	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2944	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-alanine synthetase	AT4G27260	AT4G27260
AT4G27260	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2947	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-glutamate synthetase	AT4G27260	AT4G27260
AT4G27260	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2945	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-leucine synthetase	AT4G27260	AT4G27260
AT4G27260	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2948	6.3.-.-	AT4G27260-MONOMER	indole-3-acetyl-glutamine synthetase	AT4G27260	AT4G27260
AT2G23170	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9083	6.3.-.-	AT2G23170-MONOMER	indole-3-acetyl-valine synthetase	AT2G23170	AT2G23170
AT2G23170	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9084	6.3.-.-	AT2G23170-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT2G23170	AT2G23170
AT2G23170	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2946	6.3.-.-	AT2G23170-MONOMER	indole-3-acetyl-aspartate synthetase	AT2G23170	AT2G23170
AT2G23170	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2947	6.3.-.-	AT2G23170-MONOMER	indole-3-acetyl-glutamate synthetase	AT2G23170	AT2G23170
AT1G59500	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9084	6.3.-.-	AT1G59500-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT1G59500	AT1G59500
AT1G59500	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2946	6.3.-.-	AT1G59500-MONOMER	indole-3-acetyl-aspatate synthetase	AT1G59500	AT1G59500
AT1G59500	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2947	6.3.-.-	AT1G59500-MONOMER	indole-3-acetyl-glutamate synthetase	AT1G59500	AT1G59500
AT1G59500	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2948	6.3.-.-	AT1G59500-MONOMER	indole-3-acetyl-glutamine synthetase	AT1G59500	AT1G59500
AT1G28130	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-9084	6.3.-.-	AT1G28130-MONOMER	indole-3-acetyl-phenylalanine synthetase	AT1G28130	AT1G28130
AT1G28130	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2946	6.3.-.-	AT1G28130-MONOMER	indole-3-acetyl-aspartate synthetase	AT1G28130	AT1G28130
AT1G28130	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2944	6.3.-.-	AT1G28130-MONOMER	indole-3-acetyl-alanine synthetase	AT1G28130	AT1G28130
AT1G28130	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2947	6.3.-.-	AT1G28130-MONOMER	indole-3-acetyl-glutamate synthetase	AT1G28130	AT1G28130
AT1G28130	PWY-6219	indole-3-acetyl-amino acid biosynthesis	RXN-2948	6.3.-.-	AT1G28130-MONOMER	indole-3-acetyl-glutamine synthetase	AT1G28130	AT1G28130
AT4G18440	PWY-6124	inosine-5'-phosphate biosynthesis II	AICARSYN-RXN	4.3.2.2	AT4G18440-MONOMER	adenylosuccinate lyase	AT4G18440	AT4G18440
AT3G21110	PWY-6124	inosine-5'-phosphate biosynthesis II	SAICARSYN-RXN	6.3.2.6	AT3G21110-MONOMER	phosphoribosylaminoimidazolesuccinocarboxamide synthase	AT3G21110	AT3G21110
AT2G37690	PWY-6124	inosine-5'-phosphate biosynthesis II	AIRCARBOXY-RXN	4.1.1.21	AT2G37690-MONOMER	phosphoribosylaminoimidazole carboxylase	AT2G37690	AT2G37690
AT2G35040	PWY-6124	inosine-5'-phosphate biosynthesis II	IMPCYCLOHYDROLASE-RXN	3.5.4.10	AT2G35040-MONOMER	IMP cyclohydrolase	AT2G35040	AT2G35040
AT2G35040	PWY-6124	inosine-5'-phosphate biosynthesis II	AICARTRANSFORM-RXN	2.1.2.3	AT2G35040-MONOMER	phosphoribosylaminoimidazolecarboxamide formyltransferase	AT2G35040	AT2G35040
AT2G05140	PWY-6124	inosine-5'-phosphate biosynthesis II	AIRCARBOXY-RXN	4.1.1.21	AT2G05140-MONOMER	phosphoribosylaminoimidazole carboxylase	AT2G05140	AT2G05140
AT1G36280	PWY-6124	inosine-5'-phosphate biosynthesis II	AICARSYN-RXN	4.3.2.2	AT1G36280-MONOMER	adenylosuccinate lyase	AT1G36280	AT1G36280
AT5G42810	PWY-6369	inositol pyrophosphates biosynthesis	RXN-7163	2.7.1.158	AT5G42810-MONOMER	polyphosphate 2-kinase	AT5G42810	IPK1
AT5G15070	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10979	2.7.4.24	AT5G15070-MONOMER	diphosphoinositol-pentakisphosphate kinase	AT5G15070	AT5G15070
AT5G15070	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10974	2.7.4.24	AT5G15070-MONOMER	diphosphoinositol-pentakisphosphate kinase	AT5G15070	AT5G15070
AT5G15070	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10973	2.7.4.24	AT5G15070-MONOMER	diphosphoinositol-pentakisphosphate kinase	AT5G15070	AT5G15070
AT5G15070	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10972	2.7.4.21	AT5G15070-MONOMER	inositol-hexakisphosphate kinase	AT5G15070	AT5G15070
AT5G15070	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10971	2.7.4.21	AT5G15070-MONOMER	inositol-hexakisphosphate kinase	AT5G15070	AT5G15070
AT5G15070	PWY-6369	inositol pyrophosphates biosynthesis	RXN-4941	2.7.4.21	AT5G15070-MONOMER	inositol-hexakisphosphate kinase	AT5G15070	AT5G15070
AT5G15070	PWY-6369	inositol pyrophosphates biosynthesis	2.7.4.24-RXN	2.7.4.24	AT5G15070-MONOMER	inositol hexakisphosphate 5-kinase	AT5G15070	AT5G15070
AT5G15070	PWY-6369	inositol pyrophosphates biosynthesis	2.7.1.152-RXN	2.7.4.21	AT5G15070-MONOMER	inositol-hexakisphosphate kinase	AT5G15070	AT5G15070
AT3G01310	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10979	2.7.4.24	AT3G01310-MONOMER	diphosphoinositol-pentakisphosphate kinase	AT3G01310	AT3G01310
AT3G01310	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10974	2.7.4.24	AT3G01310-MONOMER	diphosphoinositol-pentakisphosphate kinase	AT3G01310	AT3G01310
AT3G01310	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10973	2.7.4.24	AT3G01310-MONOMER	diphosphoinositol-pentakisphosphate kinase	AT3G01310	AT3G01310
AT3G01310	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10972	2.7.4.21	AT3G01310-MONOMER	inositol-hexakisphosphate kinase	AT3G01310	AT3G01310
AT3G01310	PWY-6369	inositol pyrophosphates biosynthesis	RXN-10971	2.7.4.21	AT3G01310-MONOMER	inositol-hexakisphosphate kinase	AT3G01310	AT3G01310
AT3G01310	PWY-6369	inositol pyrophosphates biosynthesis	RXN-4941	2.7.4.21	AT3G01310-MONOMER	inositol-hexakisphosphate kinase	AT3G01310	AT3G01310
AT3G01310	PWY-6369	inositol pyrophosphates biosynthesis	2.7.4.24-RXN	2.7.4.24	AT3G01310-MONOMER	inositol hexakisphosphate 5-kinase	AT3G01310	AT3G01310
AT3G01310	PWY-6369	inositol pyrophosphates biosynthesis	2.7.1.152-RXN	2.7.4.21	AT3G01310-MONOMER	inositol-hexakisphosphate kinase	AT3G01310	AT3G01310
AT1G59312	PWY-6369	inositol pyrophosphates biosynthesis	RXN-7163	2.7.1.158	AT1G59312-MONOMER	inositol-pentakisphosphate 2-kinase	AT1G59312	AT1G59312
AT1G58936	PWY-6369	inositol pyrophosphates biosynthesis	RXN-7163	2.7.1.158	AT1G58936-MONOMER	inositol-pentakisphosphate 2-kinase	AT1G58936	AT1G58936
AT1G58643	PWY-6369	inositol pyrophosphates biosynthesis	RXN-7163	2.7.1.158	AT1G58643-MONOMER	inositol-pentakisphosphate 2-kinase	AT1G58643	AT1G58643
AT1G22100	PWY-6369	inositol pyrophosphates biosynthesis	RXN-7163	2.7.1.158	AT1G22100-MONOMER	inositol-pentakisphosphate 2-kinase	AT1G22100	AT1G22100
AT5G65780	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	2.6.1.42	AT5G65780-MONOMER	branched-chain-amino-acid transaminase	AT5G65780	Atbact-5
AT5G16290	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	ACETOOHBUTSYN-RXN	2.2.1.6	AT5G16290-MONOMER	acetolactate synthase	AT5G16290	AT5G16290
AT3G58610	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	ACETOOHBUTREDUCTOISOM-RXN	1.1.1.86	AT3G58610-MONOMER	ketolacid reductoisomerase	AT3G58610	At3g58610
AT3G49680	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	2.6.1.42	AT3G49680-MONOMER	branched-chain amino acid aminotransferase	AT3G49680	Atbcat-3
AT3G48560	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	ACETOOHBUTSYN-RXN	2.2.1.6	AT3G48560-MONOMER	acetolactate synthase	AT3G48560	AT3G48560
AT3G23940	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	DIHYDROXYMETVALDEHYDRAT-RXN	4.2.1.9	AT3G23940-MONOMER	dihydroxyacid dehydratase	AT3G23940	At3g23940
AT3G19710	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	2.6.1.42	AT3G19710-MONOMER	branched-chain-amino-acid transaminase	AT3G19710	AT3G19710
AT3G10050	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	THREDEHYD-RXN	4.3.1.19	CPLXQT-4	threonine deaminase	AT3G10050	AT3G10050
AT2G31810	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	ACETOOHBUTSYN-RXN	2.2.1.6	AT2G31810-MONOMER	acetolactate synthase	AT2G31810	AT2G31810
AT1G50110	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	2.6.1.42	AT1G50110-MONOMER	branched-chain-amino-acid transaminase	AT1G50110	AT1G50110
AT1G50090	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	2.6.1.42	AT1G50090-MONOMER	branched-chain-amino-acid transaminase	AT1G50090	AT1G50090
AT1G10070	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	2.6.1.42	AT1G10070-MONOMER	branched-chain amino acid aminotransferase	AT1G10070	Atbcat-2
AT1G10060	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	2.6.1.42	AT1G10060-MONOMER	branched-chain amino acid aminotransferase	AT1G10060	Atbcat-1
